%% Maximum spread
% Case C2
%% t	max spread
0.00	0.23
60.00	0.35
120.00	0.55
180.00	0.81
240.00	1.04
300.00	1.33
360.00	1.55
420.00	2.46
480.00	2.46
540.00	2.46
600.00	2.46
660.00	2.46
720.00	2.46
780.00	2.46
840.00	2.46
900.00	2.46
960.00	2.46
1020.00	2.46
1080.00	2.46
1140.00	2.46
1200.00	2.46
1260.00	2.46
1320.00	2.46
1380.00	2.46
1440.00	2.46
1500.00	2.46
1560.00	2.46
1620.00	2.46
1680.00	2.46
1740.00	2.46
1800.00	2.46
1860.00	2.46
1920.00	2.46
