%% Maximum spread
% Case B1
%% t	max spread
0.00	0.23
60.00	0.30
120.00	0.44
180.00	0.52
240.00	0.60
300.00	0.66
360.00	0.71
420.00	0.76
480.00	0.79
540.00	0.83
600.00	0.87
660.00	0.89
720.00	0.92
780.00	0.95
840.00	0.98
900.00	1.00
960.00	1.02
1020.00	1.04
1080.00	1.06
1140.00	1.07
1200.00	1.09
1260.00	1.11
1320.00	1.13
1380.00	1.18
1440.00	1.20
1500.00	1.23
1560.00	1.25
1620.00	1.26
1680.00	1.28
1740.00	1.29
1800.00	1.31
1860.00	1.33
1920.00	1.34
