%% Maximum spread
% Case A1
%% t	max spread
0.00	0.23
60.00	0.30
120.00	0.44
180.00	0.52
240.00	0.60
300.00	0.67
360.00	0.72
420.00	0.76
480.00	0.81
540.00	0.84
600.00	0.87
660.00	0.90
720.00	0.93
780.00	0.96
840.00	1.00
900.00	1.01
960.00	1.04
1020.00	1.07
1080.00	1.09
1140.00	1.10
1200.00	1.14
1260.00	1.15
1320.00	1.17
1380.00	1.18
1440.00	1.20
1500.00	1.22
1560.00	1.24
1620.00	1.26
1680.00	1.27
1740.00	1.28
1800.00	1.30
1860.00	1.32
1920.00	1.35
