%% Maximum spread
% Case B2
%% t	max spread
0.00	0.35
60.00	0.35
120.00	0.50
180.00	0.56
240.00	0.63
300.00	0.70
360.00	0.76
420.00	0.80
480.00	0.85
540.00	0.89
600.00	0.92
660.00	0.95
720.00	0.98
780.00	0.99
840.00	1.03
900.00	1.05
960.00	1.07
1020.00	1.11
1080.00	1.12
1140.00	1.13
1200.00	1.18
1260.00	1.20
1320.00	1.25
1380.00	1.27
1440.00	1.29
1500.00	1.31
1560.00	1.34
1620.00	1.36
1680.00	1.38
1740.00	1.39
1800.00	1.41
1860.00	1.42
1920.00	1.43
