%% Maximum spread
% Case B3
%% t	max spread
0.00	0.35
60.00	0.35
120.00	0.50
180.00	0.57
240.00	0.68
300.00	0.78
360.00	0.88
420.00	0.94
480.00	0.99
540.00	1.01
600.00	1.05
660.00	1.07
720.00	1.12
780.00	1.13
840.00	1.18
900.00	1.21
960.00	1.26
1020.00	1.31
1080.00	1.34
1140.00	1.38
1200.00	1.41
1260.00	1.44
1320.00	1.46
1380.00	1.48
1440.00	1.49
1500.00	1.49
1560.00	1.50
1620.00	1.52
1680.00	1.53
1740.00	1.55
1800.00	1.56
1860.00	1.57
1920.00	1.57
