%% Maximum spread
% Case C1
%% t	max spread
0.00	0.50
60.00	0.52
120.00	0.82
180.00	8.12
240.00	1.15
300.00	1.15
360.00	7.58
420.00	7.75
480.00	7.75
540.00	7.77
600.00	7.78
660.00	7.79
720.00	7.79
780.00	7.86
840.00	7.86
900.00	7.86
960.00	7.86
1020.00	8.02
1080.00	8.10
1140.00	8.10
1200.00	8.21
1260.00	8.21
1320.00	8.30
1380.00	8.31
1440.00	8.37
1500.00	8.47
1560.00	8.47
1620.00	8.47
1680.00	8.47
1740.00	8.48
1800.00	8.48
1860.00	8.48
1920.00	8.49
