% Model,coronal_mesh11.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 27 2014, 12:26"
% Table,Probe Table 1 - 
% t,"Concentration (mol/m^3), Point Probe Expression 1","Concentration (mol/m^3), Point Probe Expression 2","Concentration (mol/m^3), Point Probe Expression 3"
21.502354065197814,0.26697115712215125,2.335898660553255E-7,2.778382948039275E-16
28.702619128233312,0.2709502430307184,4.705721915649331E-6,5.048832746831474E-14
35.90288419126881,0.27364780041769454,2.183930552550283E-5,1.3471531604042325E-12
43.10314925430431,0.2756314675444091,6.376994781257686E-5,1.644831342241094E-11
57.50367938037531,0.2786168241241354,2.778553949790059E-4,4.757399788143497E-9
71.9042095064463,0.28067621549510724,6.89327773729309E-4,4.364776218094143E-8
86.30473963251731,0.28221110681863126,0.0013027231109995945,2.1866047750657653E-7
100.70526975858832,0.28343134556366667,0.0020929353624411294,7.791453273024243E-7
118.051067930726,0.2846382713453274,0.0032195598310972005,2.767030753141635E-6
138.13535141642558,0.05092439082140667,0.004667899383476591,8.769062310958578E-6
138.44749178985785,0.04656939224930813,0.0046916390873692395,8.89361437230587E-6
139.0717725367224,0.041409863692830715,0.004739186200004783,9.149382293656136E-6
139.61485205361888,0.03818671217651632,0.0047805794860646764,9.37658530194662E-6
140.70101108741184,0.03394772987419741,0.004863468132587837,9.850249549266441E-6
142.87332915499775,0.028871198713496124,0.0050294928478116984,1.0879348993730918E-5
147.21796529016956,0.02329630062904878,0.005360999936047001,1.3303538720339008E-5
151.56260142534137,0.01974628975614865,0.0056901314012036235,1.6134790620060118E-5
160.25187369568502,0.015645034850055202,0.00632136835476959,2.372808763710546E-5
168.94114596602867,0.012983400638506802,0.006909033552428473,3.355065839755196E-5
177.63041823637232,0.011102768124205513,0.007440371448822079,4.5865933175663027E-5
195.0089627770596,0.008765127232737339,0.008247988420143968,8.179222470206885E-5
212.3875073177469,0.007195247087852973,0.008814458929653289,1.295794888250648E-4
229.7660518584342,0.00607339525438044,0.009175689755659204,1.8890803212204773E-4
264.52314093980874,0.004434846223025094,0.009539370891341234,3.309933718530905E-4
299.28023002118334,0.0034485930785331208,0.00947355404013734,5.033803639106037E-4
334.03731910255794,0.002823924286736739,0.009150291743854542,6.94464591450603E-4
368.79440818393255,0.0023944887892166675,0.00870664139870653,8.905637492881071E-4
403.55149726530715,0.002078162927968997,0.008226692511089128,0.0010796614107042605
438.30858634668175,0.0018337081583389145,0.007753853085465252,0.0012532284469062931
507.8227645094309,0.0014654311490804944,0.00689735341559721,0.0015377395586144876
577.33694267218,0.0012155769203058783,0.006162024000568858,0.0017417996058238844
646.8511208349291,0.0010379661977607537,0.005542257925010424,0.0018756547990008711
716.3652989976783,9.051080659951571E-4,0.005021634036153635,0.001954302420386497
785.8794771604275,8.014846553176793E-4,0.004581971754457265,0.0019923921360772384
855.3936553231767,7.181311230850713E-4,0.004207367999297058,0.0020018944974707397
994.422011648675,5.885504038383063E-4,0.0035951036849632724,0.001974427076303165
1133.4503679741733,4.964135663668691E-4,0.0031275647253796376,0.0019067628869014102
1272.4787242996717,4.2850282562304355E-4,0.0027623723017877445,0.001821167971807164
1411.5070806251701,3.764627565101428E-4,0.002470086860398529,0.0017303790479358074
1550.5354369506686,3.3523788192716487E-4,0.002231024866398913,0.0016408661558226865
1689.563793276167,3.01716623906721E-4,0.002031906339661456,0.0015556204497525698
1881.563793276167,2.6415499140181053E-4,0.0018043292308607057,0.001447015374479166
2073.563793276167,2.3436095429219816E-4,0.0016199816652149495,0.0013490825379839193
