% Model,sagittal.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 28 2014, 11:56"
% Table,Probe Table 1 - 
% t,"Concentration (mol/m^3), Point Probe Expression 3","Concentration (mol/m^3), Point Probe Expression 1","Concentration (mol/m^3), Point Probe Expression 2"
0,4.1635550405555416E-40,0.15468697858789465,2.23399942661999E-8
0.06592875037807969,-2.334661911874269E-40,0.1580549860606626,6.413005414288094E-9
0.13185750075615937,-1.154590596006532E-41,0.1606260449277949,-3.752293018403616E-9
0.26371500151231875,4.205875972676613E-41,0.16741521579022978,-1.3499817317741358E-8
0.5274300030246375,2.7656224665502242E-39,0.1794899882394116,-6.675290277399814E-9
0.7911450045369562,4.1630660247139243E-38,0.18946499118375756,9.787492395216221E-9
1.054860006049275,2.0016697386815147E-37,0.1979715001296122,1.7096215994173015E-8
1.5822900090739125,5.83556292179997E-32,0.21173451090761403,3.940927247315424E-9
2.10972001209855,1.0349429126637909E-30,0.22201552258249413,-1.5110374503777634E-8
3.164580018147825,-3.7197955437634135E-27,0.23653626007345263,-8.382321946616887E-9
4.2194400241971,-1.023737203206808E-24,0.24383605415461596,6.0179254281184696E-9
5.2743000302463745,-1.0090257257990374E-23,0.24930245820112934,9.139600060558808E-10
7.3840200423449245,-1.2266849527977964E-21,0.25655024324192743,2.1969073004056242E-10
9.493740054443474,5.6361522703269236E-21,0.2616745839651936,4.9383503550573534E-9
13.713180078640574,1.1838389273244117E-16,0.26807192395910057,1.1226890375583068E-8
17.932620102837674,2.738466236236465E-15,0.2724243036003735,2.0387185869222833E-7
26.371500151231874,2.2956367252261508E-11,0.277670154609423,1.3302817530249871E-5
34.810380199626074,2.4586370579585226E-10,0.2811617298883791,5.896333588863282E-5
51.688140296414474,3.508149082955234E-8,0.2853151952701811,4.0081204717150255E-4
68.56590039320287,2.2695667607168588E-7,0.2880718049055192,0.0010331385282207639
85.44366048999126,8.542772438756559E-7,0.29006314718640164,0.001937065405382089
119.19918068356806,4.862894228410017E-6,0.2930520932904355,0.004233563911217191
152.95470087714486,1.6715535855852232E-5,0.034632923603638316,0.006986770885647782
161.56948511223965,2.1742892447963843E-5,0.020091756055036658,0.007733349378522557
169.23206918758888,2.7133983574571184E-5,0.01566201766602058,0.008375317885010274
176.8946532629381,3.355239247030175E-5,0.012946950880922974,0.008982246950598962
192.21982141363657,5.13479198869883E-5,0.00994674802282966,0.009991747681117696
222.87015771503349,1.1075040494491132E-4,0.00700173235909078,0.01118546433136889
253.5204940164304,1.9444664727036591E-4,0.0053179108910029905,0.01174091108463321
284.1708303178273,2.9972266946957064E-4,0.004240497124212666,0.011868022859485248
314.82116661922424,4.2181963852407317E-4,0.0034987145184140443,0.011731567372145634
376.1218392220181,6.883873605290422E-4,0.002448752394651836,0.011149141094872635
437.4225118248119,9.694525708543332E-4,0.0018526176226242963,0.010311186986342754
498.72318442760576,0.0012372473436056497,0.0014947608569675743,0.009441470053472869
560.0238570303997,0.0014714971614676184,0.0012581320498725797,0.008643470799953753
621.3245296331935,0.0016627154625702863,0.001088245988551993,0.007942318894084227
682.6252022359873,0.0018101823476786574,9.59188941640335E-4,0.0073315727377097975
805.226547441575,0.002001051401646457,7.668091151279315E-4,0.006313380919668104
927.8278926471627,0.0020851683660368194,6.381575756894131E-4,0.0055122256540637935
1050.4292378527505,0.0020998852667102794,5.472529405319028E-4,0.004869764521658321
1173.0305830583382,0.0020728638349321055,4.790987932426118E-4,0.004344686968361967
1295.6319282639258,0.0020222497787081026,4.2555750612407057E-4,0.003908441455465077
1487.6319282639258,0.001923458677099965,3.596900722987393E-4,0.003351400710638994
1679.6319282639258,0.001813965414009668,3.101865882350828E-4,0.002915418545871206
1871.6319282639258,0.0017044092715619685,2.718634520763499E-4,0.0025681499766017956
2063.631928263926,0.0016000769966258393,2.4136895291314964E-4,0.00228661220737875
